date,forecast_qty_total,forecast_qty_total_lower,forecast_qty_total_upper,sku_id
2024-12-24,1.0,0.9999999986279631,1.0000000013899444,46303774477
2024-12-25,1.0,0.9999999985667969,1.0000000016113177,46303774477
2024-12-26,1.0,0.9999999981446851,1.0000000020097009,46303774477
2024-12-27,1.0,0.9999999977982353,1.0000000025965374,46303774477
2024-12-28,1.0,0.9999999966698562,1.0000000042795663,46303774477
2024-12-29,1.0,0.999999994775988,1.0000000057709455,46303774477
2024-12-30,1.0,0.9999999934670282,1.0000000078740052,46303774477
2024-12-31,1.0,0.999999991364286,1.0000000096839194,46303774477
2025-01-01,1.0,0.9999999892782343,1.0000000116614767,46303774477
2025-01-02,1.0,0.9999999863313945,1.00000001377799,46303774477
2025-01-03,1.0,0.9999999842862892,1.0000000163624345,46303774477
2025-01-04,1.0,0.9999999813997246,1.0000000194994505,46303774477
2025-01-05,1.0,0.9999999783349043,1.0000000219952727,46303774477
2025-01-06,1.0,0.9999999767258454,1.0000000251459211,46303774477
2025-01-07,1.0,0.9999999739578167,1.0000000289053965,46303774477
2025-01-08,1.0,0.9999999705651641,1.000000032645261,46303774477
2025-01-09,1.0,0.999999967563933,1.0000000369324316,46303774477
2025-01-10,1.0,0.999999964079531,1.0000000406482104,46303774477
2025-01-11,1.0,0.9999999608863992,1.0000000448097157,46303774477
2025-01-12,1.0,0.9999999576552812,1.0000000473339576,46303774477
2025-01-13,1.0,0.9999999550783795,1.0000000513957483,46303774477
2025-01-14,1.0,0.9999999517482902,1.000000053587361,46303774477
2025-01-15,1.0,0.9999999496093044,1.0000000578909265,46303774477
2025-01-16,1.0,0.9999999453931698,1.0000000621818352,46303774477
2025-01-17,1.0,0.9999999421760759,1.0000000664146098,46303774477
2025-01-18,1.0,0.9999999380529846,1.0000000679205392,46303774477
2025-01-19,1.0,0.9999999342293142,1.0000000724683107,46303774477
2025-01-20,1.0,0.9999999306850693,1.0000000761535346,46303774477
2025-03-04,1.9999996656589085,1.9999996656575563,1.9999996656604018,46303862950
2025-03-05,1.9999996656589087,1.9999996656574437,1.9999996656602679,46303862950
2025-03-06,1.9999996656589092,1.9999996656574408,1.999999665660583,46303862950
2025-03-07,1.9999996656589094,1.999999665657217,1.999999665660647,46303862950
2025-03-08,1.9999996656589096,1.9999996656570702,1.9999996656610126,46303862950
2025-03-09,1.99999966565891,1.999999665656935,1.999999665660828,46303862950
2025-03-10,1.9999996656589103,1.9999996656566563,1.9999996656615502,46303862950
2025-03-11,1.9999996656589105,1.9999988939136677,1.9999996656617016,46303862950
2025-03-12,1.9999996656589107,1.9999578083171878,2.000041831277934,46303862950
2025-03-13,1.9999996656589112,1.999891030813114,2.000095370107346,46303862950
2025-03-14,1.9999996656589114,1.9998233847969076,2.000152637274982,46303862950
2025-03-15,1.9999996656589116,1.9997708670943335,2.0001889449577197,46303862950
2025-03-16,1.9999996656589119,1.9996713586834398,2.000273281485185,46303862950
2025-03-17,1.9999996656589123,1.9995886105377327,2.0003729810541713,46303862950
2025-03-18,1.9999996656589125,1.999525458662881,2.0004175617700923,46303862950
2025-03-19,1.9999996656589127,1.9994249897150127,2.0005024203344792,46303862950
2025-03-20,1.9999996656589132,1.9993139397339867,2.000587471236909,46303862950
2025-03-21,1.9999996656589134,1.9992028881587356,2.000677902863571,46303862950
2025-03-22,1.9999996656589136,1.9991089429295996,2.0007762549986587,46303862950
2025-03-23,1.9999996656589138,1.999002430419197,2.0009251455840062,46303862950
2025-03-24,1.9999996656589143,1.9989216714013693,2.0010100575575693,46303862950
2025-03-25,1.9999996656589145,1.998701893250616,2.001106237082131,46303862950
2025-03-26,1.9999996656589147,1.9984650764201124,2.001221212540019,46303862950
2025-03-27,1.999999665658915,1.9983419463822267,2.0013259212630032,46303862950
2025-03-28,1.9999996656589154,1.998229030428777,2.0013811596685356,46303862950
2025-03-29,1.9999996656589156,1.9980779942548774,2.001493434765314,46303862950
2025-03-30,1.9999996656589158,1.9979174762635845,2.0016315191241394,46303862950
2025-03-31,1.9999996656589163,1.9977225494840427,2.001703781253729,46303862950
2025-03-04,5.434594712288739,1.2103616831353188,9.743973445713833,46303877432
2025-03-05,4.865590756422694,0.6483874036893431,9.238657173371598,46303877432
2025-03-06,4.296586800556636,0.1990195927781386,8.415678086292761,46303877432
2025-03-07,3.727582844690591,-0.27290717045421314,7.937410457140836,46303877432
2025-03-08,3.1585788888245467,-0.8590908059605913,7.223969434451627,46303877432
2025-03-09,2.5895749329585023,-1.524492847044785,6.87657254167024,46303877432
2025-03-10,2.020570977092458,-1.922469164938684,6.056388810830206,46303877432
2025-03-11,1.4515670212264133,-2.8002438246337173,5.370679147254228,46303877432
2025-03-12,0.8825630653603618,-3.3665166734419856,4.957784818693345,46303877432
2025-03-13,0.3135591094943173,-3.8654038012014285,4.551803161322816,46303877432
2025-03-14,-0.25544484637172715,-4.319586302816609,3.9604833409089424,46303877432
2025-03-15,-0.8244488022377716,-5.0718442445260745,3.1425772598499653,46303877432
2025-03-16,-1.393452758103816,-5.4065734347469725,2.6974933355354453,46303877432
2025-03-17,-1.9624567139698605,-6.098661189331016,2.095992256282521,46303877432
2025-03-18,-2.531460669835919,-6.691166028869021,1.6364264682185405,46303877432
2025-03-19,-3.1004646257019637,-7.327917068500504,1.0263100642434824,46303877432
2025-03-20,-3.669468581568008,-8.08926460099653,0.8363301705739405,46303877432
2025-03-21,-4.238472537434053,-8.407934287515365,-0.2437925596638673,46303877432
2025-03-22,-4.807476493300097,-8.9609141588942,-0.3155058878644995,46303877432
