period,sku_id,category_id,brand,lifetime_days,qty_total,orders_qty,abc,total_abc_numeric,avg_discount_perc_by_goods,max_discount_perc_by_goods,Unnamed: 11,avg_goods_price_by_goods,revenue,last_goods_sell_status,oos__by_goods,war,covid,year,sin_quarter,cos_quarter,sin_month,cos_month,sin_week,cos_week,data_status
5/15/2023,41273568614,672241,477244491,-239,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,5","-0,866","0,6631","-0,7485",ok
6/19/2023,27095808692,672241,271765659,905,0,0,,,,,,"1003,8",0,available,1,1,0,2023,0,-1,0,-1,"0,1205","-0,9927",inconsistent
12/4/2023,3926767355,672241,328272246,108,0,0,,,,,,"852,6",0,available,1,1,0,2023,0,1,0,1,"-0,3546","0,935",inconsistent
12/11/2023,45132580164,672241,477244491,-290,0,0,,,,,,0,0,,0,1,0,2023,0,1,0,1,"-0,2393","0,9709",inconsistent
12/9/2024,30323761316,672241,962351639,1279,0,0,,,,,,"1311,3",0,available,1,1,0,2024,0,1,0,1,"-0,3546","0,935",inconsistent
6/5/2023,4867304145,672241,432414279,-633,0,0,,,,,,0,0,,0,1,0,2023,0,-1,0,-1,"0,3546","-0,935",unsold
12/16/2024,41859075396,672241,477244491,301,22,22,AAAA,12.0,"0,134","0,134",,"233,7","4879,8",available,1,1,0,2024,0,1,0,1,"-0,2393","0,9709",ok
4/24/2023,44255064844,672241,271948542,-459,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,866","-0,5","0,8855","-0,4647",unsold
8/21/2023,48443531970,672241,116668177,-548,0,0,,,,,,0,0,,0,1,0,2023,-1,0,"-0,866","-0,5","-0,823","-0,5681",unsold
6/19/2023,43987972199,672241,968502710,-386,0,0,,,,,,0,0,,0,1,0,2023,0,-1,0,-1,"0,1205","-0,9927",ok
7/22/2024,31315209729,672241,611108271,1081,0,0,,,,,,"2699,7",0,available,1,1,0,2024,-1,0,"-0,5","-0,866","-0,3546","-0,935",inconsistent
12/11/2023,38281454130,672241,198559823,186,0,0,,,,,,1320,0,available,1,1,0,2023,0,1,0,1,"-0,2393","0,9709",inconsistent
7/22/2024,42997343957,672241,742865271,84,2,2,,0.0,,,,"1038,6","2077,2",available,1,1,0,2024,-1,0,"-0,5","-0,866","-0,3546","-0,935",inconsistent
1/1/2024,30181290347,672241,962351639,943,0,0,,,,,,945,0,available,1,1,0,2024,1,0,"0,5","0,866",0,1,inconsistent
5/1/2023,38676661854,672241,773497904,-67,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,5","-0,866","0,823","-0,5681",inconsistent
9/25/2023,40000050358,672241,92299414,-17,0,0,,,,,,0,0,,0,1,0,2023,-1,0,-1,0,-1,0,inconsistent
8/19/2024,39267674431,672241,328272246,367,0,0,,,,,,"1226,358",0,available,1,1,0,2024,-1,0,"-0,866","-0,5","-0,7485","-0,6631",inconsistent
2/26/2024,28809487836,672241,271765659,1063,0,0,,,,,,"982,2",0,available,1,1,0,2024,1,0,"0,866","0,5","0,823","0,5681",inconsistent
6/9/2025,42997389826,672241,742865271,406,0,0,,,,,,0,0,,,1,0,2025,0,-1,0,-1,"0,3546","-0,935",ok
5/15/2023,42997397695,672241,742865271,-350,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,5","-0,866","0,6631","-0,7485",ok
4/22/2024,35281682198,672241,113725672,592,0,0,,,,,,"5999,7",0,available,1,1,0,2024,0,-1,"0,866","-0,5","0,935","-0,3546",inconsistent
1/1/2024,43292171330,672241,962351639,-136,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866",0,1,unsold
2/27/2023,41844855621,672241,370793386,-354,0,0,,,,,,0,0,,0,1,0,2023,1,0,"0,866","0,5","0,8855","0,4647",inconsistent
2/3/2025,45386581155,672241,834446616,112,0,0,,,,,,"3010,5",0,available,1,1,0,2025,1,0,"0,866","0,5","0,5681","0,823",inconsistent
6/17/2024,44255064283,672241,271948542,-39,0,0,,,,,,0,0,,0,1,0,2024,0,-1,0,-1,"0,2393","-0,9709",inconsistent
6/3/2024,42997403955,672241,742865271,35,0,0,,,,,,0,0,,0,1,0,2024,0,-1,0,-1,"0,4647","-0,8855",ok
10/9/2023,42931106661,672241,617591237,-197,0,0,,,,,,0,0,,0,1,0,2023,0,1,"-0,866","0,5","-0,9709","0,2393",inconsistent
1/8/2024,44754812989,672241,477244491,-238,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866","0,1205","0,9927",ok
5/22/2023,38677459566,672241,773497904,-46,0,0,,,,,,0,0,,0,1,0,2023,0,-1,"0,5","-0,866","0,5681","-0,823",inconsistent
2/6/2023,45995668920,672241,742865271,-645,0,0,,,,,,0,0,,0,1,0,2023,1,0,"0,866","0,5","0,6631","0,7485",inconsistent
4/24/2023,30227766812,672241,271765659,690,0,0,,,,,,"746,1",0,available,1,1,0,2023,0,-1,"0,866","-0,5","0,8855","-0,4647",inconsistent
10/7/2024,35281682198,672241,113725672,760,0,0,,,,,,"5999,7",0,available,1,1,0,2024,0,1,"-0,866","0,5","-0,9927","0,1205",inconsistent
10/21/2024,4079053893,672241,799359138,323,0,0,,,,,,0,0,,0,1,0,2024,0,1,"-0,866","0,5","-0,935","0,3546",inconsistent
1/29/2024,598294111,672241,773497904,1909,0,0,,,,,,"345,3",0,available,1,1,0,2024,1,0,"0,5","0,866","0,4647","0,8855",ok
11/25/2024,46303948414,672241,747920273,0,1,1,,0.0,,,,"690,249",0,available,"0,857",1,0,2024,0,1,"-0,5","0,866","-0,5681","0,823",inconsistent
12/25/2023,41491394123,672241,747920273,-30,0,0,,,,,,0,0,,0,1,0,2023,0,1,0,1,0,1,ok
12/11/2023,38801749516,672241,271948542,147,0,0,,,,,,"1036,5",0,available,1,1,0,2023,0,1,0,1,"-0,2393","0,9709",inconsistent
5/8/2023,36952921551,672241,968502710,67,0,0,,,,,,"4199,7",0,available,1,1,0,2023,0,-1,"0,5","-0,866","0,7485","-0,6631",inconsistent
3/31/2025,39267674723,672241,328272246,591,0,0,,,,,,0,0,,,1,0,2025,1,0,1,0,1,0,inconsistent
2/6/2023,41491393273,672241,747920273,-352,0,0,,,,,,0,0,,0,1,0,2023,1,0,"0,866","0,5","0,6631","0,7485",ok
2/19/2024,48441796938,672241,116668177,-366,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,866","0,5","0,7485","0,6631",novelty
9/18/2023,36442913739,672241,348717123,249,0,0,,,,,,"3899,7",0,available,1,1,0,2023,-1,0,-1,0,"-0,9927","-0,1205",ok
1/29/2024,42997424093,672241,742865271,-91,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,5","0,866","0,4647","0,8855",ok
9/25/2023,35760808536,672241,773497904,342,0,0,,,,,,0,0,,0,1,0,2023,-1,0,-1,0,-1,0,ok
11/25/2024,38854638939,672241,617591237,493,0,0,,,,,,1716,0,available,1,1,0,2024,0,1,"-0,5","0,866","-0,5681","0,823",inconsistent
2/5/2024,48609798496,672241,370793386,-386,0,0,,,,,,0,0,,0,1,0,2024,1,0,"0,866","0,5","0,5681","0,823",unsold
12/23/2024,38598934876,672241,864274928,542,0,0,,,,,,"1463,4",0,available,1,1,0,2024,0,1,0,1,"-0,1205","0,9927",inconsistent
10/16/2023,45459383935,672241,268226686,-368,0,0,,,,,,0,0,,0,1,0,2023,0,1,"-0,866","0,5","-0,935","0,3546",novelty
12/23/2024,9629394497,672241,611108271,2019,0,0,,,,,,"2249,7",0,available,1,1,0,2024,0,1,0,1,"-0,1205","0,9927",inconsistent
6/10/2024,35760808536,672241,773497904,601,13,8,ABAA,11.0,"0,195","0,195",,"318,3","4593,6",available,1,1,0,2024,0,-1,0,-1,"0,3546","-0,935",ok
3/31/2025,32644501966,672241,968502710,1231,0,0,,,,,,0,0,,,1,0,2025,1,0,1,0,1,0,inconsistent
7/31/2023,5996815882,672241,773497904,1726,0,0,,,,,,"498,6",0,available,"0,286",1,0,2023,-1,0,"-0,5","-0,866","-0,5681","-0,823",inconsistent
6/17/2024,27095810173,672241,271765659,1269,0,0,,,,,,"989,7",0,available,1,1,0,2024,0,-1,0,-1,"0,2393","-0,9709",ok
5/19/2025,27095811177,672241,271765659,1605,0,0,,,,,,0,0,,,1,0,2025,0,-1,"0,5","-0,866","0,6631","-0,7485",inconsistent
8/26/2024,38677465824,672241,773497904,416,0,0,,,,,,"331,5",0,available,1,1,0,2024,-1,0,"-0,866","-0,5","-0,823","-0,5681",inconsistent
3/11/2024,4396560443,672241,271948542,-119,0,0,,,,,,0,0,,0,1,0,2024,1,0,1,0,"0,935","0,3546",inconsistent
10/30/2023,31298226737,672241,962351639,816,0,0,,,,,,"982,8",0,available,1,1,0,2023,0,1,"-0,866","0,5","-0,823","0,5681",inconsistent
7/22/2024,35760808866,672241,773497904,643,5,4,ABBA,10.0,,,,"410,1","2460,6",available,"0,714",1,0,2024,-1,0,"-0,5","-0,866","-0,3546","-0,935",ok
